epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,759.063,1.04431,0.85147,1.12777,0.75731,0.71749,0.76005,0.51468,1.13297,0.98893,1.12487,0.0009506,0.0009506,0.0009506
55,773.393,1.04843,0.86987,1.1428,0.80452,0.6861,0.77455,0.51798,1.14658,0.92968,1.12825,0.0009308,0.0009308,0.0009308
56,786.743,1.0305,0.84448,1.13699,0.84163,0.6861,0.77895,0.5212,1.14058,0.91196,1.13657,0.000911,0.000911,0.000911
57,800.119,1.0382,0.82779,1.12496,0.83435,0.66629,0.76677,0.50717,1.15543,0.9539,1.14352,0.0008912,0.0008912,0.0008912
58,813.472,1.03535,0.82774,1.13153,0.7769,0.67149,0.73925,0.47767,1.19301,1.00153,1.16249,0.0008714,0.0008714,0.0008714
59,826.878,1.01784,0.80624,1.12414,0.77585,0.70852,0.75922,0.50329,1.16431,0.93849,1.14802,0.0008516,0.0008516,0.0008516
60,840.173,1.01915,0.83243,1.12218,0.74496,0.67457,0.7446,0.50363,1.13651,0.9502,1.13944,0.0008318,0.0008318,0.0008318
61,853.42,0.99514,0.78842,1.10623,0.74737,0.69283,0.75956,0.50465,1.14114,0.92984,1.12209,0.000812,0.000812,0.000812
62,866.855,1.0012,0.7903,1.1109,0.79242,0.69955,0.77816,0.52876,1.13446,0.9288,1.11376,0.0007922,0.0007922,0.0007922
63,880.296,1.01738,0.80913,1.13063,0.77195,0.71749,0.77174,0.5195,1.14767,0.93228,1.11977,0.0007724,0.0007724,0.0007724
64,893.563,0.99936,0.77741,1.11575,0.79454,0.6763,0.7584,0.50508,1.1627,0.95093,1.13937,0.0007526,0.0007526,0.0007526
65,907.042,0.98103,0.77952,1.1104,0.8077,0.68747,0.77426,0.51543,1.14186,0.93176,1.13767,0.0007328,0.0007328,0.0007328
66,921.09,1.00503,0.77818,1.10823,0.80961,0.68648,0.77347,0.51873,1.13786,0.92003,1.12571,0.000713,0.000713,0.000713
67,935.135,0.98888,0.76971,1.10094,0.82876,0.68366,0.78227,0.5048,1.19032,0.89395,1.13984,0.0006932,0.0006932,0.0006932
68,948.977,0.98592,0.76264,1.10083,0.83974,0.66966,0.7643,0.51971,1.12433,0.92572,1.12236,0.0006734,0.0006734,0.0006734
69,962.926,0.97307,0.75342,1.09098,0.80584,0.70179,0.76794,0.52602,1.14983,0.92263,1.132,0.0006536,0.0006536,0.0006536
70,976.243,0.96545,0.73223,1.09437,0.77431,0.7154,0.77858,0.5284,1.13385,0.91324,1.12311,0.0006338,0.0006338,0.0006338
71,989.679,0.97453,0.74864,1.09566,0.84379,0.66368,0.76747,0.52173,1.12207,0.92185,1.11614,0.000614,0.000614,0.000614
72,1002.93,0.95297,0.72319,1.08531,0.76171,0.72646,0.76545,0.52548,1.14019,0.92103,1.13524,0.0005942,0.0005942,0.0005942
73,1016.27,0.95686,0.72247,1.07964,0.80198,0.69921,0.75816,0.51672,1.14001,0.91859,1.13191,0.0005744,0.0005744,0.0005744
74,1029.5,0.97099,0.73169,1.09736,0.78271,0.6946,0.76704,0.51143,1.16795,0.92772,1.14769,0.0005546,0.0005546,0.0005546
75,1042.88,0.94587,0.72732,1.07688,0.78242,0.70952,0.78042,0.52492,1.14776,0.89161,1.14575,0.0005348,0.0005348,0.0005348
76,1056.42,0.94215,0.72933,1.0835,0.7849,0.71973,0.77627,0.52734,1.14048,0.88428,1.12894,0.000515,0.000515,0.000515
77,1069.61,0.94733,0.71533,1.07255,0.80513,0.70403,0.77491,0.52963,1.14234,0.88863,1.132,0.0004952,0.0004952,0.0004952
78,1082.96,0.9359,0.69341,1.07027,0.81019,0.69955,0.77495,0.52832,1.13728,0.88768,1.14131,0.0004754,0.0004754,0.0004754
79,1096.23,0.92566,0.70128,1.0671,0.84368,0.6704,0.77829,0.52986,1.13166,0.86708,1.14647,0.0004556,0.0004556,0.0004556
80,1109.62,0.94682,0.70119,1.07459,0.81713,0.70852,0.78655,0.52846,1.12552,0.87428,1.12301,0.0004358,0.0004358,0.0004358
81,1122.8,0.91197,0.6696,1.05747,0.84048,0.72064,0.78474,0.52868,1.1342,0.87579,1.12829,0.000416,0.000416,0.000416
82,1136.05,0.90946,0.67752,1.06203,0.78423,0.73318,0.78749,0.53791,1.13081,0.87441,1.13115,0.0003962,0.0003962,0.0003962
83,1149.23,0.91158,0.68424,1.06147,0.8026,0.71749,0.78809,0.52982,1.13225,0.86786,1.11807,0.0003764,0.0003764,0.0003764
84,1162.44,0.89016,0.66288,1.04935,0.82208,0.69413,0.77763,0.52737,1.14079,0.8931,1.1326,0.0003566,0.0003566,0.0003566
85,1175.66,0.89864,0.66061,1.05579,0.81791,0.69731,0.76699,0.51651,1.16989,0.91061,1.16292,0.0003368,0.0003368,0.0003368
86,1188.94,0.89868,0.66045,1.04594,0.82932,0.70852,0.78581,0.527,1.14464,0.87203,1.14264,0.000317,0.000317,0.000317
87,1202.08,0.89267,0.64336,1.04948,0.82003,0.70628,0.79655,0.53593,1.14399,0.8639,1.13497,0.0002972,0.0002972,0.0002972
88,1215.48,0.89693,0.66241,1.05038,0.85887,0.68834,0.79504,0.53213,1.15158,0.85874,1.13962,0.0002774,0.0002774,0.0002774
89,1228.66,0.88802,0.64312,1.04207,0.79615,0.71808,0.7899,0.53264,1.13621,0.86602,1.13273,0.0002576,0.0002576,0.0002576
90,1241.95,0.8767,0.65256,1.04513,0.83264,0.69283,0.79496,0.53652,1.12502,0.84498,1.11994,0.0002378,0.0002378,0.0002378
91,1277,0.81152,0.57266,0.99367,0.86598,0.68092,0.79331,0.53214,1.15019,0.83886,1.14745,0.000218,0.000218,0.000218
92,1290.17,0.79789,0.53717,0.98378,0.85242,0.66049,0.78485,0.53641,1.13938,0.86425,1.14379,0.0001982,0.0001982,0.0001982
93,1303.35,0.78116,0.529,0.97142,0.8301,0.69016,0.77997,0.52962,1.12012,0.87704,1.12757,0.0001784,0.0001784,0.0001784
94,1316.55,0.77622,0.51926,0.97686,0.83249,0.70179,0.78891,0.53605,1.1446,0.85473,1.13971,0.0001586,0.0001586,0.0001586
95,1329.68,0.78165,0.52567,0.96965,0.80873,0.72051,0.78501,0.53369,1.12948,0.8614,1.13009,0.0001388,0.0001388,0.0001388
96,1342.8,0.7775,0.51518,0.96756,0.84319,0.68161,0.78791,0.53018,1.13794,0.8669,1.1425,0.000119,0.000119,0.000119
97,1355.83,0.77234,0.50985,0.96956,0.83725,0.69731,0.79219,0.53504,1.12949,0.86252,1.13054,9.92e-05,9.92e-05,9.92e-05
98,1368.99,0.74719,0.49552,0.96108,0.82806,0.70179,0.79366,0.53682,1.1245,0.85867,1.12785,7.94e-05,7.94e-05,7.94e-05
99,1382.06,0.75529,0.49379,0.96531,0.80124,0.72308,0.78928,0.534,1.13112,0.84992,1.13098,5.96e-05,5.96e-05,5.96e-05
100,1395.13,0.75288,0.48917,0.95828,0.80631,0.71973,0.78758,0.53423,1.12093,0.85443,1.12332,3.98e-05,3.98e-05,3.98e-05
